Potencia,Maximo,DesvioPadrao,Curtose,Assimetria
708764.3,3307.2927,389.89792,0.24155355333041806,0.6294388318186611
708258.94,3798.3179,389.42554,0.24359909319142847,0.6299222239251776
708159.5,3085.7046,389.54593,0.24617623887683937,0.6291153284840226
705815.75,3362.354,389.10864,0.2515875658888893,0.6289772469385613
709202.2,3370.8494,389.59177,0.23581742654021287,0.6262793886193344
708618.7,3077.0376,389.6195,0.23572813893060696,0.6278553852262531
709290.44,3649.1472,390.0254,0.24432080587553529,0.6297204791918856
711323.5,3262.6777,390.1991,0.24325730190212091,0.6304302517083452
710485.56,3214.3818,390.04684,0.24888357682269202,0.6302984787050722
720022.06,3291.5713,393.48236,0.25611024518592806,0.6361515353557922
720069.8,3237.0952,393.67792,0.2804196697119621,0.640607701906197
715067.8,3753.8452,391.90125,0.2537783732121217,0.6329408046086336
710196.56,3295.533,390.17786,0.22427529804958635,0.6268754648546029
713367.44,3433.11,391.37714,0.2630528838427666,0.633599866102284
717754.56,4455.84,392.79828,0.2636816016849206,0.6349735026576867
714333.25,3699.957,392.27386,0.2514560645394597,0.6324533592062789
707398.8,3535.6145,389.41107,0.23917832056826116,0.6278615065647695
709632.06,3561.8323,390.31415,0.2424759211893135,0.6302736352986469
710108.1,3387.397,390.16006,0.23800746708338583,0.6277179085805371
707045.94,4076.2754,389.53186,0.23775108890699181,0.6298530978934689
709771.9,4057.281,390.33002,0.26648274488404367,0.634306539447481
711300.3,6352.396,391.78564,0.7675480774865893,0.6869555053169527
717658.0,4541.707,392.70563,0.26730810012160244,0.63703858848284
713748.25,3192.9348,391.512,0.25962312699391354,0.6349873627176932
706699.3,3346.4885,389.3945,0.2514396114456061,0.6333643506477508
706066.2,2968.8047,389.02597,0.24182905041127745,0.6296884877672846
707705.06,9043.732,389.95804,0.6092346816018548,0.6523936076222178
708307.4,5379.5703,389.97244,0.2733752076750622,0.6329241986188398
706711.8,3343.2644,389.29785,0.2606098549542457,0.6330745250686217
707622.6,3184.2666,389.67566,0.21886448514348578,0.6245286887727025
708865.2,4134.3926,389.63028,0.24719599814612359,0.6302481880203432
707464.9,3012.307,389.49725,0.23822141789531104,0.630770964636143
710430.8,7478.474,390.6381,0.6493493649595057,0.6582021093253496
710748.56,9171.495,391.12357,0.8880921220460922,0.6716163447325929
707807.94,3112.7124,389.80048,0.2500671251041249,0.6322175597817593
707387.8,3053.564,389.02692,0.2530621600872949,0.6307351674636986
708506.9,3113.6938,389.82306,0.23737626913937326,0.6297771138847096
709878.94,3888.7922,390.2459,0.2427802378176751,0.6281984221315665
710130.94,5097.1157,390.19223,0.23662357162528336,0.6249209761059229
709288.1,3308.9663,389.788,0.2276175478831335,0.6261363782838113
708833.0,4669.1113,390.03268,0.24939614972705604,0.6307846368920271
708596.94,3505.4692,390.2079,0.24585624756749702,0.6326103330458189
707453.3,3203.2366,389.38947,0.2352647114693025,0.629096371056577
708490.0,3339.0095,389.70844,0.25072819373231914,0.6306087620269488
706762.7,3105.031,389.11075,0.24144221103061358,0.6302830696267697
707471.25,3047.215,389.1873,0.22942747208184144,0.6253478243497744
708455.94,4145.1875,389.72473,0.2523118994767004,0.629431354388458
707574.1,3362.9458,389.95804,0.23573552233701456,0.6279697734183763
707890.5,3448.4485,389.73627,0.23324729352790374,0.6299373843060769
707042.06,3083.8694,389.16852,0.2294040638796444,0.6270058207053414
707035.7,3356.7844,389.52478,0.24801287145506734,0.6303900276578561
706850.2,3097.7246,389.55515,0.2503906796514239,0.6338918765429576
706998.8,3321.3362,389.24927,0.2416129853769693,0.6287604733504997
707725.8,2982.5205,389.8886,0.24437051812409827,0.6307730827022551
707223.5,3174.7864,389.45468,0.25011248560923693,0.6298574506157454
706812.56,3531.0737,389.61835,0.23507569270866746,0.6303487910214721
706252.06,3263.8777,388.89706,0.22986320235565305,0.6267910677925905
708258.75,3221.524,389.57144,0.22502967091259007,0.626047684152494
708329.56,3944.205,389.52988,0.2272639256144351,0.6270775048704978
709897.0,3081.692,390.0522,0.2390077344652597,0.6300479225635128
708705.2,4029.4849,390.24893,0.25031567558813794,0.6313246263524179
707493.94,5981.6104,389.42276,0.2961259391335691,0.6314755830894482
707216.3,3066.1716,389.31516,0.23912565638656114,0.6288647737468579
708137.25,3459.9563,389.79648,0.25254243571355106,0.6316036957322985
708762.3,3268.1199,389.81427,0.2541154397866463,0.632091549680584
708969.7,3097.7632,389.67834,0.24401513369285288,0.6271610230009227
711497.44,3246.6697,390.64383,0.23597371368917086,0.6289361786305355
711257.2,3278.4443,390.81506,0.25455093081297253,0.6331126529301048
708341.7,3086.1597,389.5649,0.2569789769057462,0.6322731778622733
709133.6,3153.0066,390.1849,0.24655859185024553,0.6308807624600675
708026.5,3249.443,390.02762,0.2538923419751953,0.6328966417207141
709541.56,3073.8005,390.00995,0.24429685257132716,0.6306953345235631
707148.75,3066.019,389.22314,0.2245806126969092,0.6261983579056701
709511.3,3331.9048,390.3071,0.24856865292038677,0.6333993648758417
710379.3,3292.3738,390.85608,0.24787871350681634,0.6326987146357796
712772.2,3312.93,391.04355,0.26257528401290076,0.6340418863915883
719162.56,3563.495,393.49136,0.26429604645890814,0.6370521048233174
718650.56,3280.236,393.3901,0.2581070915613024,0.6372768045454538
716723.7,3728.9363,392.78717,0.2846323026237698,0.6423559877973285
718303.7,3371.4238,393.21826,0.2629310521775987,0.6364698604280553
717749.4,3124.041,393.0834,0.27773741142746067,0.6403065913923712
717954.4,3386.5034,392.53973,0.26371226822337945,0.6353207269960832
