Potencia,Maximo,DesvioPadrao,FFT_Peak,FFT_Mean,Classe
1.0000001,4.1293683,0.46329474,154.1191,38.34533,0
1.0000001,4.695615,0.46294913,184.25972,37.566593,0
1.0000004,4.450201,0.46347424,202.04526,38.74717,0
1.0000006,3.8476338,0.4629966,182.65965,39.13929,0
0.99999964,4.037662,0.46280178,188.68831,37.55782,0
1.0,3.859525,0.46349674,196.17007,38.634785,0
0.99999976,3.97239,0.4632446,142.14148,37.553078,0
1.0000001,3.8595104,0.46313486,202.91357,38.344467,0
0.9999998,4.3718705,0.46318984,162.52913,37.97404,0
1.0000004,3.9815562,0.4630727,157.95947,38.19275,0
0.9999998,4.009988,0.46335825,195.5197,37.732555,0
1.0000004,4.058701,0.46279547,162.51994,37.720867,0
0.9999997,4.1054254,0.46286348,166.058,38.343266,0
1.0000002,3.7688246,0.46319705,206.85254,38.333298,0
1.0000004,3.7683952,0.46291557,180.97754,38.09573,0
1.0000004,3.762894,0.46309528,146.05733,38.02097,0
1.0000001,4.1563754,0.46347082,149.44754,38.384895,0
1.0,3.8975728,0.46289527,181.49602,38.436172,0
1.0000002,4.844094,0.46329045,194.89896,38.394157,0
1.0000002,4.090922,0.46332937,146.40828,38.22949,0
0.9999998,4.1495895,0.46328127,161.40302,38.217453,0
1.0000001,4.2802095,0.46332163,143.67061,38.33252,0
0.9999999,3.9722357,0.46352366,151.56339,38.542652,0
0.9999997,3.811792,0.4628708,134.71597,38.18153,0
1.0000002,3.9364803,0.46295604,220.11092,37.779537,0
0.9999999,4.5307484,0.46321532,181.0527,38.507965,0
0.99999994,5.4423795,0.4630854,155.13585,37.85654,0
1.0000004,3.5043428,0.4631781,156.44281,38.2692,0
1.0,4.045103,0.46297142,167.08792,38.337498,0
1.0,4.0102377,0.46284756,171.21034,38.350903,0
1.0000005,4.154206,0.46289688,149.07727,38.101826,0
1.0000004,3.9518864,0.463252,165.80618,37.942627,0
1.0,4.3468766,0.46329114,196.30014,38.39905,0
0.9999996,3.574032,0.46318132,183.147,39.05527,0
0.99999994,3.8769536,0.4632468,187.93884,38.64719,0
1.0,3.7062294,0.46268487,155.91096,38.514412,0
1.0000001,3.771009,0.4630927,156.20569,38.25029,0
0.99999964,5.8625236,0.46287745,196.10449,38.768383,0
1.0000004,3.6852174,0.4631252,178.167,38.561966,0
1.0,4.379635,0.46334895,152.8342,38.126125,0
0.99999994,3.668362,0.46258786,162.66371,37.63848,0
1.0000001,4.735059,0.46294284,188.88956,38.84896,0
1.0000001,4.4037175,0.46327394,158.28947,38.162716,0
1.0,3.5706143,0.46271768,196.08931,37.999893,0
1.0000002,4.1254845,0.46278343,152.9193,37.776257,0
1.0000005,3.5710661,0.46335012,156.12413,38.72694,0
1.0000004,3.7994475,0.46286416,203.57155,38.67356,0
1.0000001,3.9157128,0.46342665,171.8634,37.463963,0
0.99999994,3.9213855,0.4627723,182.1758,38.032066,0
0.99999994,3.9196055,0.46351725,162.4397,36.958263,0
1.0,4.0052705,0.463394,150.17967,38.40808,0
1.0000002,5.509409,0.4630107,159.54219,38.555096,0
1.0000002,4.196451,0.46267274,172.71953,38.299835,0
0.99999976,3.8077588,0.46348488,190.43199,37.994373,0
0.9999999,4.5660434,0.46315837,147.42589,38.081345,0
1.0,4.9251795,0.46295014,133.95789,38.715847,0
1.0000002,4.7754207,0.4635337,168.53598,38.268723,0
1.0000001,3.9840543,0.4630555,195.7812,38.115044,0
0.9999998,3.7434516,0.46336496,167.49522,38.550674,0
1.0000002,3.8048544,0.46359128,175.61617,38.262634,0
1.0000001,4.933597,0.46310344,140.16502,38.294415,0
1.0000002,3.6108663,0.46354738,152.93423,38.912464,0
0.99999994,5.034631,0.46310362,158.04836,38.302876,0
1.0000004,3.7055597,0.46315813,154.46272,37.9812,0
1.0000004,4.4046164,0.46286443,148.20818,38.25011,0
1.0000005,3.7965024,0.4631398,124.11693,38.508938,0
1.0000001,3.8349411,0.46293542,198.62018,38.5105,0
1.0,4.100393,0.463278,145.80667,37.769955,0
0.9999998,3.6906908,0.46312252,222.06342,37.552143,0
1.0000001,3.9650455,0.4629725,141.025,37.758793,0
0.9999999,3.7952528,0.46285895,153.75987,37.743816,0
1.0000002,3.7409165,0.46280208,175.442,38.46653,0
1.0000004,3.6353817,0.46308067,164.028,38.099476,0
0.9999999,4.265245,0.46291095,153.92433,37.897667,0
1.0000001,3.6765993,0.46255398,198.61198,38.65121,0
0.9999999,3.5305028,0.46281865,171.90247,38.183052,0
0.99999976,3.6891115,0.46279165,198.00787,38.130383,0
1.0000002,3.8238435,0.46314657,176.22878,38.186752,0
1.0000004,3.6444952,0.46320394,173.23512,37.244564,0
0.99999964,4.043904,0.46360207,158.97467,37.060974,0
0.99999994,4.2795134,0.46386275,166.08218,38.64018,0
1.0,4.2369523,0.46324432,157.17726,38.68772,0
0.9999997,4.0053296,0.462842,156.50887,38.287537,0
1.0000001,3.6442032,0.4634834,160.2334,38.565063,0
1.0000002,4.7225847,0.4637517,150.67021,38.078377,0
0.9999999,3.7149653,0.4632222,176.58945,38.164295,0
0.9999999,4.1301,0.46308425,160.73343,38.02063,0
1.0,3.6306226,0.46345925,188.44064,38.267586,0
0.99999976,4.641789,0.46322536,168.37717,38.19753,0
1.0000001,4.314197,0.4632705,185.23831,39.005184,0
0.99999994,6.9614367,0.46447343,164.84154,38.141228,0
0.9999999,8.585287,0.4644048,176.59317,37.948467,0
1.0000001,4.247642,0.46356684,165.48572,37.490242,0
1.0000004,4.0043826,0.46300963,196.75761,39.209457,0
1.0000002,3.9798892,0.4631312,143.24466,38.29431,0
1.0000001,10.485373,0.46324262,175.76341,38.408413,0
0.9999998,6.253098,0.46312204,138.62088,37.893867,0
1.0000001,6.925623,0.46320748,185.50977,38.149456,0
1.0000002,3.8524823,0.4631157,160.219,37.663578,0
0.99999964,4.4733152,0.46306524,215.00468,37.570484,0
1.0000001,3.847143,0.46319246,174.5761,38.094536,0
1.0000001,4.9884434,0.4631819,157.918,37.77358,0
1.0000001,10.785892,0.46395802,167.88788,38.30079,0
1.0,3.7417297,0.46387568,145.70193,37.991566,0
1.0000002,3.975424,0.4630334,150.02673,38.298645,0
0.99999994,3.8790212,0.46322033,157.1062,37.779465,0
0.9999999,3.8826137,0.46297127,159.06914,38.34801,0
1.0000001,4.9124336,0.4632809,154.51434,37.926197,0
1.0000002,3.8372436,0.46291327,168.69044,38.26022,0
1.0000001,5.3335285,0.46316326,167.28069,37.927994,0
1.0000004,3.719501,0.46309146,148.75415,38.452408,0
1.0000007,4.492752,0.46290967,160.26062,37.459393,0
1.0,3.8790352,0.46315315,243.52637,37.838413,0
1.0000005,3.520227,0.4631234,158.19179,38.21501,0
0.99999994,3.7361915,0.46295205,177.90855,37.925922,0
1.0000002,4.0053573,0.46311378,181.63832,38.623512,0
1.0000002,4.2612114,0.46297696,179.24406,37.74589,0
1.0000001,3.7401392,0.46339056,192.16994,38.78041,0
0.99999994,3.7239707,0.46319938,173.9925,38.04977,0
0.9999997,3.9629116,0.463399,167.54306,38.150913,0
1.0000001,3.780191,0.46321702,223.73164,38.765205,0
0.9999998,4.0608416,0.46319982,164.44713,38.66776,0
0.99999976,3.4997165,0.4632691,155.7293,38.816025,0
0.99999994,3.668451,0.4634625,161.45178,38.34774,0
0.9999999,3.7730389,0.46301445,199.53796,38.737885,0
0.9999996,3.6912558,0.46336517,159.53767,39.285336,0
0.9999999,3.7005339,0.46284914,157.5079,38.18003,0
0.99999964,3.905374,0.4629573,203.69473,38.423157,0
0.9999995,4.6560106,0.46284786,147.59789,38.27585,0
1.0,4.7434688,0.46324244,164.51576,38.06786,0
1.0000004,7.8798404,0.46330142,177.37703,38.42148,0
0.99999994,3.7655084,0.46328786,141.96846,38.67093,0
0.9999997,3.5907032,0.46284014,162.4461,37.936413,0
1.0000004,4.115935,0.4634821,134.70967,37.819324,0
1.0000001,3.7806077,0.4626117,146.30356,37.91779,0
1.0000004,3.5948262,0.4633065,149.52528,38.296417,0
0.99999994,3.6790423,0.46275416,154.63235,37.886185,0
1.0000001,3.717542,0.46312904,178.69267,38.63756,0
1.0000001,4.3965673,0.46303222,196.00592,38.176426,0
0.99999964,4.681357,0.4633929,179.06111,37.82858,0
1.0000001,3.9741287,0.46326488,177.42165,38.924606,0
1.0000002,3.8188736,0.46306407,137.25278,38.59372,0
1.0000002,3.913286,0.46294934,177.24799,37.979214,0
1.0,3.9914024,0.46377242,176.35004,38.099564,0
1.0000002,4.6986732,0.46315008,183.55956,38.562195,0
1.0000002,3.9001033,0.4636216,153.69815,37.756687,0
1.0000002,3.7953236,0.46403155,148.00832,38.420403,0
0.9999998,4.5918345,0.46416044,176.20338,38.290432,0
1.0000001,4.951957,0.46433848,165.56767,37.570942,0
1.0000001,3.8736806,0.46392,146.55609,37.401585,0
1.0000004,4.096528,0.46368593,188.13737,38.372993,0
0.99999994,3.6934764,0.46407756,171.37895,38.961597,0
1.0000002,3.785208,0.4633927,143.35114,39.03253,0
1.0,3.904073,0.46358562,191.59525,38.13765,0
0.99999994,3.5532033,0.46323478,179.95088,38.909874,0
1.0,3.9144714,0.46374008,193.42387,38.583416,0
0.9999998,4.0807214,0.46334502,147.42696,38.929344,0
0.99999994,4.362054,0.4641929,151.80849,38.310062,0
1.0000001,3.9408267,0.46380618,156.29959,38.263443,0
0.99999994,3.8969126,0.4639427,168.82275,38.341255,0
1.0000004,3.892754,0.4630071,230.75325,38.102463,0
1.0000001,3.9041896,0.46404704,177.42038,38.32268,0
1.0000005,4.0318146,0.46353802,157.14569,39.07969,0
0.9999998,3.767284,0.463092,170.71758,38.50713,0
0.99999994,4.5543537,0.46373317,182.57915,38.598873,0
1.0000002,3.912788,0.46362254,161.88843,38.629013,0
0.99999994,4.561166,0.46371022,186.45967,37.998245,0
1.0000004,3.8140187,0.4635755,153.52734,38.451733,0
0.99999976,4.787187,0.46377164,176.77606,37.93357,0
0.99999994,3.7764904,0.46383336,188.06613,37.259373,0
1.0,3.8834286,0.46344012,164.93227,39.524494,0
1.0000001,3.7118106,0.46324655,162.52507,38.640274,0
0.99999994,4.739446,0.46394873,220.16624,38.796432,0
0.9999998,3.594523,0.46332887,158.63939,38.43176,0
0.9999997,3.9032228,0.46367133,192.99979,38.302082,0
1.0000005,4.137767,0.46377856,197.28348,38.239582,0
0.9999997,4.640388,0.46273437,174.70755,37.86639,0
1.0000007,3.8070345,0.46343178,217.85086,38.364483,0
0.9999999,4.053984,0.46386936,160.10167,38.24473,0
0.99999976,3.7011316,0.4631505,152.9667,39.03956,0
0.9999998,3.9640508,0.46345565,188.39272,38.47135,0
1.0000001,4.041587,0.46403646,152.35751,38.350998,0
0.9999994,3.871747,0.46342233,188.71175,37.9745,0
0.99999976,3.8851762,0.46301422,167.80136,38.72831,0
1.0,4.947321,0.46317765,171.7275,38.61551,0
1.0000001,4.88587,0.4633154,163.56187,39.705444,0
1.0000005,4.1475816,0.46350402,174.40266,37.74993,0
0.99999964,3.8333921,0.46335104,166.44571,38.00484,0
1.0000005,3.8908572,0.46315888,167.14574,37.873543,0
1.0000002,4.530659,0.4634132,187.09116,39.391453,0
0.9999999,3.9983451,0.46326643,154.84373,38.73473,0
1.0000002,4.063237,0.46366426,178.10641,37.012833,0
1.0000002,3.6086247,0.4635739,177.13332,37.38064,0
1.0000001,3.7327085,0.46342516,194.52054,37.7899,0
1.0000001,3.7288997,0.4636316,210.35721,38.410465,0
0.9999998,3.7192564,0.46305007,185.66478,37.772713,0
1.0000002,3.8238852,0.46327424,155.2558,38.472744,0
0.9999998,4.7667246,0.4633559,147.14401,37.8104,0
1.0000005,3.9954162,0.4637025,132.89674,38.231792,0
1.0,4.120812,0.46343458,174.49335,38.252068,0
1.0000001,4.0611696,0.4635302,163.21344,38.31261,0
0.99999976,4.3606,0.46312803,174.3229,38.113728,0
0.9999999,3.9381769,0.46384928,213.44685,38.72748,0
0.9999999,3.921616,0.46387225,158.1527,37.440346,0
1.0000002,4.251344,0.46381766,159.60498,37.980785,0
1.0000007,4.41074,0.46366495,174.30307,38.513184,0
1.0000001,3.9628205,0.46362075,153.56653,38.18269,0
1.0,4.9366508,0.46322706,151.74593,37.589745,0
0.9999995,3.6903563,0.46372622,167.53534,37.92118,0
1.0000004,3.7960992,0.46386614,166.01003,37.952072,0
0.9999998,3.8745527,0.46266913,192.14928,38.286327,0
1.0000004,4.038426,0.46358234,143.45561,38.727695,0
0.99999976,4.265934,0.46345857,163.77983,37.677273,0
1.0000004,3.7151563,0.46336585,162.5617,38.581432,0
0.99999994,3.87831,0.46344763,159.17485,38.32152,0
0.9999998,4.3189707,0.46372062,160.79283,38.342014,0
0.99999994,4.452426,0.4638293,147.10745,38.575623,0
0.9999999,3.9878895,0.46394074,201.04607,38.216057,0
1.0000001,3.685165,0.46378183,138.7712,38.576187,0
1.0000001,4.1286244,0.46340835,189.13277,38.81008,0
1.0,7.9645433,0.46369347,180.73497,38.821808,0
1.0000001,4.185623,0.4627905,154.85408,38.05602,0
1.0000001,3.9298139,0.46313414,171.44495,38.64605,0
1.0,4.125107,0.46342763,167.3735,37.97469,0
1.0000001,3.7914157,0.4631824,162.26613,37.584488,0
1.0,4.0514593,0.46337283,193.08517,38.37652,0
1.0,4.4346337,0.46412012,173.02325,38.56279,0
1.0000004,4.208425,0.46322098,182.90102,39.323147,0
0.9999999,4.495505,0.4634328,149.8972,38.23432,0
1.0,4.188998,0.46392164,156.23431,37.98656,0
1.0000005,4.1000557,0.46329737,177.14961,37.87259,0
1.0000001,3.9944046,0.46360266,183.39587,39.236813,0
1.0,5.3654695,0.46258992,194.77559,38.13792,0
1.0000002,3.6771388,0.46318987,138.38768,38.307095,0
0.99999994,3.9188075,0.46367222,136.18544,37.98562,0
0.9999996,4.4359984,0.46339938,189.60133,38.138412,0
0.99999994,4.0992856,0.46264145,175.7886,38.25421,0
1.0,3.6155398,0.46275926,163.4177,37.619793,0
1.0,5.124337,0.46277833,156.68022,38.4307,0
0.9999996,4.0027313,0.4631838,171.68375,37.6487,0
0.9999998,3.9708219,0.46376196,170.37437,37.987186,0
0.9999998,3.9125297,0.46342495,207.81274,39.382263,0
0.9999998,4.1250205,0.4631095,166.9053,38.387833,0
1.0000001,8.462102,0.46315742,150.40778,38.380604,0
0.99999976,4.05269,0.4630022,174.53021,37.77933,0
1.0000002,3.7875726,0.46358714,153.82425,37.90219,0
1.0,4.4910374,0.46388227,142.80276,37.571453,0
0.9999999,4.5059977,0.4634435,209.80496,37.835037,0
1.0000001,4.203106,0.4635926,152.81667,37.947594,0
1.0000006,10.834001,0.47010496,156.81377,38.304504,0
1.0,8.629106,0.463416,195.52649,39.328293,0
0.9999997,5.050822,0.46369419,205.1307,38.1348,0
1.0000002,3.9549496,0.46287322,217.28825,38.235672,0
1.0000001,3.8676975,0.46322837,163.892,38.091812,0
0.99999976,3.8586519,0.4634586,177.96832,37.350643,0
0.99999976,3.675275,0.46315756,162.57454,38.691162,0
1.0,4.554363,0.46329552,169.48021,37.996544,0
1.0000001,4.042503,0.46338537,180.50655,38.632145,0
0.99999964,5.0490375,0.463499,161.00693,37.77673,0
1.0000002,3.8566632,0.46351326,191.71956,38.17254,0
1.0,4.6222663,0.46364167,179.81534,37.099895,0
0.9999998,3.7220702,0.46350974,182.79538,38.95202,0
1.0000002,3.6808746,0.46379966,162.06923,38.7767,0
1.0000001,3.7273288,0.46297878,154.90463,37.93265,0
1.0000005,3.9382052,0.46369445,184.9153,38.44347,0
1.0000001,4.0088863,0.46374905,174.21735,38.0942,0
1.0000002,3.6877058,0.46311057,143.88953,37.792603,0
1.0000002,5.410698,0.46378586,177.88231,38.31361,0
0.99999994,4.4769554,0.46354532,250.35913,38.035793,0
0.9999997,3.729199,0.4636484,161.75755,38.222164,0
1.0000004,4.0370607,0.46333706,175.95442,37.77436,0
1.0000002,13.671217,0.48501945,179.75977,37.982666,0
0.9999999,4.323324,0.46311638,180.17834,38.50287,0
1.0000004,4.126289,0.4636385,161.98253,38.739285,0
1.0,3.840615,0.46361947,189.42053,39.255962,0
1.0,4.0026107,0.4639761,153.03754,38.320095,0
0.99999994,3.811399,0.46371695,170.59624,37.81216,0
1.0,4.3108354,0.4634714,165.16768,38.409832,0
1.0000004,4.524645,0.46317828,164.77437,38.151913,0
1.0000001,3.9556978,0.46340978,195.54362,37.696377,0
0.99999994,4.25205,0.46288845,175.59314,39.063553,0
1.0000004,3.6798503,0.46353182,198.08614,37.81004,0
1.0000001,4.3434725,0.46285582,167.44852,37.57997,0
0.9999998,3.6501555,0.46326172,157.78156,38.464943,0
0.9999996,4.6457324,0.46276152,178.25737,38.196476,0
1.0000001,3.5238478,0.46297964,171.89809,38.515553,0
1.0000002,3.5639868,0.4631751,223.68939,38.41335,0
1.0000001,3.9685621,0.46355847,149.46751,38.14497,0
0.9999997,3.8381493,0.46279016,171.54224,37.260994,0
1.0000004,3.8080044,0.46302664,144.40898,37.454117,0
1.0000006,5.973966,0.46314362,172.31772,38.216904,0
1.0000004,3.8194895,0.46317324,173.52115,38.656403,0
0.9999998,4.8132825,0.46310604,166.29565,38.661385,0
1.0,5.5445566,0.4635113,157.89854,38.693005,0
1.0000001,4.541634,0.4630896,222.77927,37.86708,0
1.0000002,4.313351,0.46286565,187.23436,38.85017,0
0.99999994,3.697909,0.46350715,188.32272,37.96884,0
1.0000004,4.4915104,0.4628917,173.2813,38.534225,0
1.0000004,3.7080126,0.46368828,175.35472,38.837727,0
1.0000004,3.5705423,0.4630659,165.17941,37.58415,0
1.0,4.034386,0.46293932,173.97041,39.0374,0
1.0000001,3.8476558,0.46320733,154.5294,38.29445,0
0.99999976,3.9998996,0.46357894,158.24915,38.76229,0
0.9999997,3.8065271,0.46386746,183.76355,38.801617,0
0.9999999,3.7641242,0.4638331,144.22203,39.202305,0
1.0000005,3.721559,0.4639847,164.40161,38.233162,0
1.0000005,3.7681005,0.46299618,176.99597,38.282303,0
0.99999976,3.4911778,0.463567,168.92886,38.16714,0
1.0,4.444997,0.46404368,193.35135,38.686493,0
0.99999976,8.10887,0.4633334,148.1111,37.99463,0
0.9999999,4.7008986,0.463919,150.31622,37.286034,0
1.0000005,4.2637343,0.4636293,164.25313,38.091415,0
0.9999994,3.7127059,0.46395847,183.2464,37.19273,0
0.99999976,3.7622054,0.46377742,141.45398,37.72074,0
1.0000002,3.878819,0.46326464,166.36029,37.868797,0
1.0000001,3.7742174,0.46332717,191.85063,38.1103,0
1.0000002,4.15661,0.46374518,177.73463,38.106346,0
1.0000001,4.6270356,0.46363583,216.8698,37.46,0
1.0000004,3.8470252,0.46386415,164.89716,38.276417,0
0.99999994,3.8697162,0.46388677,163.4236,37.493595,0
1.0000004,3.6376698,0.4635442,164.9829,39.03808,0
1.0000001,3.873436,0.4633107,213.69926,39.28166,0
0.9999999,4.8077407,0.46286818,154.71295,37.689976,0
0.9999999,3.9392443,0.46348235,157.0076,37.9657,0
0.9999996,4.16166,0.4632445,182.15315,38.820614,0
1.0000001,3.760612,0.46262106,176.68384,38.191826,0
0.9999999,3.8887193,0.4625577,185.08026,37.950787,0
